Country,Country code,Cluster1990,Flow_1990_2015,Transition_Types,AA,AB,BA,BB,BC,CB,CC,CD,DB,DC,DD,Cluster2015,Life_expectancy,population,CO2(ton),unemployment rate,"Industry, value added (% of GDP)",agriculture add(%gdp)
Paraguay,PRY,ClusterB_1990,B_1990-B_2015,BB,0,0,0,1,0,0,0,0,0,0,0,ClusterB_2015,35.5,5543548.444,0.736572019,6.239160004,33.76794749,18.87507685
Peru,PER,ClusterB_1990,B_1990-B_2015,BB,0,0,0,1,0,0,0,0,0,0,0,ClusterB_2015,35.7,26895781.48,1.285888005,6.509120007,34.52399171,8.221899343
Philippines,PHL,ClusterB_1990,B_1990-B_2015,BB,0,0,0,1,0,0,0,0,0,0,0,ClusterB_2015,30.9,82716822.63,0.864133687,8.54039999,32.90741755,15.357517
Poland,POL,ClusterB_1990,B_1990-A_2015,BA,0,0,1,0,0,0,0,0,0,0,0,ClusterA_2015,35.9,38255612.93,8.393953964,12.73116007,33.31508364,3.474701445
Portugal,PRT,ClusterA_1990,A_1990-A_2015,AA,1,0,0,0,0,0,0,0,0,0,0,ClusterA_2015,35.6,10308361.33,5.239439815,7.854360065,25.17004743,3.060320293
Puerto Rico,PRI,ClusterA_1990,A_1990-A_2015,AA,1,0,0,0,0,0,0,0,0,0,0,ClusterA_2015,30.43,3694869.407,0,13.31880009,88.05152345,0.978338202
Qatar,QAT,ClusterA_1990,A_1990-A_2015,AA,1,0,0,0,0,0,0,0,0,0,0,ClusterA_2015,30.8,1111968.296,52.9904383,1.199840018,118.3039988,0.169796591
Romania,ROU,ClusterB_1990,B_1990-B_2015,BB,0,0,0,1,0,0,0,0,0,0,0,ClusterB_2015,35.7,21512095.89,4.754708001,7.017959976,38.47113062,12.73846516
Russia,RUS,ClusterB_1990,B_1990-B_2015,BB,0,0,0,1,0,0,0,0,0,0,0,ClusterB_2015,29.57,145484067.5,11.48395224,8.084999981,37.42724402,6.349099773
Rwanda,RWA,ClusterD_1990,D_1990-C_2015,DC,0,0,0,0,0,0,0,0,0,1,0,ClusterC_2015,31.27692308,8657179.889,0.067183001,2.154760015,16.39305767,32.27219455
St. Lucia,LCA,ClusterB_1990,B_1990-B_2015,BB,0,0,0,1,0,0,0,0,0,0,0,ClusterB_2015,28.01,160302.4815,2.056050209,18.10260006,16.54282699,5.486859345
St. Vincent and the Grenadines,VCT,ClusterB_1990,B_1990-B_2015,BB,0,0,0,1,0,0,0,0,0,0,0,ClusterB_2015,25.99,108568.963,1.6241021,19.51227997,19.56077479,8.52064239
Samoa,WSM,ClusterB_1990,B_1990-B_2015,BB,0,0,0,1,0,0,0,0,0,0,0,ClusterB_2015,25.4,178471.7778,0.844489113,5.68047996,0,0
Sao Tome and Principe,STP,ClusterC_1990,C_1990-C_2015,CC,0,0,0,0,0,0,1,0,0,0,0,ClusterC_2015,31,151909.2963,0.456485961,13.25720004,17.49418466,11.96334762
Saudi Arabia,SAU,ClusterA_1990,A_1990-A_2015,AA,1,0,0,0,0,0,0,0,0,0,0,ClusterA_2015,32.1,23322095.22,15.5574339,5.763840046,54.42799852,4.194537103
Senegal,SEN,ClusterC_1990,C_1990-C_2015,CC,0,0,0,0,0,0,1,0,0,0,0,ClusterC_2015,25.2,10985014.59,0.45863725,9.188999939,23.77984835,17.64045881
Serbia,SRB,ClusterB_1990,B_1990-B_2015,BB,0,0,0,1,0,0,0,0,0,0,0,ClusterB_2015,35.5,7435070.889,5.856398482,17.08612007,30.85991335,14.02491617
Seychelles,SYC,ClusterB_1990,B_1990-B_2015,BB,0,0,0,1,0,0,0,0,0,0,0,ClusterB_2015,37,82164.37037,5.334603349,3.19,23.51396867,3.811091908
Sierra Leone,SLE,ClusterD_1990,D_1990-D_2015,DD,0,0,0,0,0,0,0,0,0,0,1,ClusterD_2015,25.1,5429437.222,0.117110096,3.059840002,19.8597441,51.55158784
Singapore,SGP,ClusterA_1990,A_1990-A_2015,AA,1,0,0,0,0,0,0,0,0,0,0,ClusterA_2015,29.85384615,4307876.963,11.10328542,3.676840014,31.06018982,0.104619539
Slovak Republic,SVK,ClusterB_1990,B_1990-A_2015,BA,0,0,1,0,0,0,0,0,0,0,0,ClusterA_2015,36.4,5375649.37,7.106846923,14.03984009,35.59422224,4.236637576
Slovenia,SVN,ClusterA_1990,A_1990-A_2015,AA,1,0,0,0,0,0,0,0,0,0,0,ClusterA_2015,36.6,2013630,7.441615449,7.136080017,33.88764763,2.767832277
Solomon Islands,SLB,ClusterC_1990,C_1990-C_2015,CC,0,0,0,0,0,0,1,0,0,0,0,ClusterC_2015,25.1,449574.8889,0.380115381,31.7082,12.13327831,38.76689577
Somalia,SOM,ClusterD_1990,D_1990-D_2015,DD,0,0,0,0,0,0,0,0,0,0,1,ClusterD_2015,29.4,10128869.41,0.063357491,6.666119976,0,65.45259173
South Africa,ZAF,ClusterC_1990,C_1990-C_2015,CC,0,0,0,0,0,0,1,0,0,0,0,ClusterC_2015,33.5,46492765.66,8.817014263,23.97836006,32.19908681,3.352158092
Spain,ESP,ClusterA_1990,A_1990-A_2015,AA,1,0,0,0,0,0,0,0,0,0,0,ClusterA_2015,29.5,42808235.67,6.51620047,17.23551998,28.41402741,3.335831892
Sri Lanka,LKA,ClusterB_1990,B_1990-B_2015,BB,0,0,0,1,0,0,0,0,0,0,0,ClusterB_2015,32.6,19129629.63,0.530241253,8.26279995,28.38946857,16.61207883
Sudan,SDN,ClusterC_1990,C_1990-C_2015,CC,0,0,0,0,0,0,1,0,0,0,0,ClusterC_2015,31.4,29585172.74,0.229440935,14.10884003,17.53436261,37.38557791
Suriname,SUR,ClusterB_1990,B_1990-B_2015,BB,0,0,0,1,0,0,0,0,0,0,0,ClusterB_2015,32.9,487091.7778,4.128386223,10.03791998,30.71619558,10.80813831
Swaziland,SWZ,ClusterC_1990,C_1990-D_2015,CD,0,0,0,0,0,0,0,1,0,0,0,ClusterD_2015,32.3,1094226,0.815508694,24.75688011,41.52447278,11.43455081
Sweden,SWE,ClusterA_1990,A_1990-A_2015,AA,1,0,0,0,0,0,0,0,0,0,0,ClusterA_2015,38.26692308,9086409.185,5.670551162,7.350439987,29.16838639,2.011743653
Switzerland,CHE,ClusterA_1990,A_1990-A_2015,AA,1,0,0,0,0,0,0,0,0,0,0,ClusterA_2015,38,7434672.889,5.506339788,3.698799973,27.49498463,1.160877282
Syria,SYR,ClusterB_1990,B_1990-C_2015,BC,0,0,0,0,1,0,0,0,0,0,0,ClusterC_2015,31.1,17178531.7,2.88679733,10.41739996,28.89272534,27.07437762
Tajikistan,TJK,ClusterC_1990,C_1990-C_2015,CC,0,0,0,0,0,0,1,0,0,0,0,ClusterC_2015,24.24,6759024.926,0.453896244,11.34480003,32.81930997,27.24680256
Tanzania,TZA,ClusterD_1990,D_1990-C_2015,DC,0,0,0,0,0,0,0,0,0,1,0,ClusterC_2015,32.2,38523886.41,0.12256661,3.206839991,19.98340557,36.72763718
Thailand,THA,ClusterB_1990,B_1990-B_2015,BB,0,0,0,1,0,0,0,0,0,0,0,ClusterB_2015,30.4,63741659,3.254020698,1.486240003,37.71968128,9.867758159
Timor-Leste,TLS,ClusterD_1990,D_1990-C_2015,DC,0,0,0,0,0,0,0,0,0,1,0,ClusterC_2015,28.95,986404.3704,0.205016505,5.522399998,14.6146237,24.44713135
Togo,TGO,ClusterD_1990,D_1990-D_2015,DD,0,0,0,0,0,0,0,0,0,0,1,ClusterD_2015,31.3,5488508.222,0.272935955,6.95788002,18.98098696,37.23676224
Tonga,TON,ClusterB_1990,B_1990-C_2015,BC,0,0,0,0,1,0,0,0,0,0,0,ClusterC_2015,28.2,100273.4815,1.027560757,5.134839973,18.9847221,23.92217546
Trinidad and Tobago,TTO,ClusterB_1990,B_1990-B_2015,BB,0,0,0,1,0,0,0,0,0,0,0,ClusterB_2015,32.9,1290991.333,24.01032693,10.39680002,50.97562198,1.365241856
Tunisia,TUN,ClusterB_1990,B_1990-B_2015,BB,0,0,0,1,0,0,0,0,0,0,0,ClusterB_2015,25.99615385,9918826.296,2.113607053,14.81355991,30.86768729,11.86003698
Turkey,TUR,ClusterB_1990,B_1990-B_2015,BB,0,0,0,1,0,0,0,0,0,0,0,ClusterB_2015,35,66120284.48,3.472092967,8.939919968,30.62240196,11.8231907
Turkmenistan,TKM,ClusterB_1990,B_1990-B_2015,BB,0,0,0,1,0,0,0,0,0,0,0,ClusterB_2015,24,4675784.889,9.590786757,9.111320038,45.64464868,20.61503804
Uganda,UGA,ClusterD_1990,D_1990-D_2015,DD,0,0,0,0,0,0,0,0,0,0,1,ClusterD_2015,25.3,27704453.33,0.073672369,2.418759987,20.29405234,34.50586381
Ukraine,UKR,ClusterB_1990,B_1990-B_2015,BB,0,0,0,1,0,0,0,0,0,0,0,ClusterB_2015,36.6,48342766.78,7.206893575,8.385960064,35.79317774,13.70887084
United Arab Emirates,ARE,ClusterA_1990,A_1990-A_2015,AA,1,0,0,0,0,0,0,0,0,0,0,ClusterA_2015,30.7,4984745.444,24.98292357,3.290879955,0,0
United Kingdom,GBR,ClusterA_1990,A_1990-A_2015,AA,1,0,0,0,0,0,0,0,0,0,0,ClusterA_2015,40.40423077,60459805.78,8.715959826,6.815560036,23.80645674,0.925744811
United States,USA,ClusterA_1990,A_1990-A_2015,AA,1,0,0,0,0,0,0,0,0,0,0,ClusterA_2015,39.41,288994497.3,18.78791004,6.112000027,21.66864858,1.194412693
Uruguay,URY,ClusterB_1990,B_1990-B_2015,BB,0,0,0,1,0,0,0,0,0,0,0,ClusterB_2015,32.9,3308063.519,1.781394601,10.08572002,27.7347319,8.766270082
Uzbekistan,UZB,ClusterC_1990,C_1990-C_2015,CC,0,0,0,0,0,0,1,0,0,0,0,ClusterC_2015,26.93,25852077.78,4.521001025,9.176959991,29.53006599,28.19673774
Vanuatu,VUT,ClusterC_1990,C_1990-C_2015,CC,0,0,0,0,0,0,1,0,0,0,0,ClusterC_2015,24.3,203528.9259,0.433663411,5.603919926,10.51479723,23.24755313
Venezuela,VEN,ClusterB_1990,B_1990-B_2015,BB,0,0,0,1,0,0,0,0,0,0,0,ClusterB_2015,32.2,25821463.7,6.253313778,10.14255997,50.82444995,4.938622047
West Bank and Gaza,PSE,ClusterB_1990,B_1990-B_2015,BB,0,0,0,1,0,0,0,0,0,0,0,ClusterB_2015,32.1,3198660.222,0.45539235,23.27471985,25.6259129,8.713774277
Vietnam,VNM,ClusterC_1990,C_1990-B_2015,CB,0,0,0,0,0,1,0,0,0,0,0,ClusterB_2015,32,80035314.81,0.95404581,2.331559973,36.87136838,20.50113517
Yemen,YEM,ClusterC_1990,C_1990-C_2015,CC,0,0,0,0,0,0,1,0,0,0,0,ClusterC_2015,23.39,19675152.85,0.839631206,14.88104,40.53482267,16.47084975
Zambia,ZMB,ClusterD_1990,D_1990-D_2015,DD,0,0,0,0,0,0,0,0,0,0,1,ClusterD_2015,32.6,11714196.89,0.22062425,13.26163996,35.21092101,15.5059451
Zimbabwe,ZWE,ClusterC_1990,C_1990-D_2015,CD,0,0,0,0,0,0,0,1,0,0,0,ClusterD_2015,33.7,12839983.44,1.019558631,5.511959953,29.34351954,16.16566056
South Sudan,SSD,ClusterD_1990,D_1990-D_2015,DD,0,0,0,0,0,0,0,0,0,0,1,ClusterD_2015,26.67,8003395.889,0.095595241,12,0,0
"Macao ,China",MAC,ClusterA_1990,A_1990-A_2015,AA,1,0,0,0,0,0,0,0,0,0,0,ClusterA_2015,78.14230769,467048.5185,3.202278433,3.684079981,13.37725157,0
"HongKong ,China",HKG,ClusterA_1990,A_1990-A_2015,AA,1,0,0,0,0,0,0,0,0,0,0,ClusterA_2015,80.88961538,6663385.185,5.821626679,4.110000024,8.486680343,0.069126143
"Taiwan,China",TWN,ClusterA_1990,A_1990-A_2015,AA,1,0,0,0,0,0,0,0,0,0,0,ClusterA_2015,76.76923077,9893860.463,10.56,4.326666667,14,6.3
